brand,shops,states,cities,shop_types,spellings_seen,carried_by,assessed,verdict,notes
Martine Rose,1,PA,Pittsburgh,Multigender 1,Martine Rose,TONS,no,,
Maruman,1,PA,Philadelphia,Multigender 1,Maruman,Totem Brand Co.,no,,
Mason's,1,PA,Wayne,In scope 1,MASON'S,Boyds,no,,
Massimo Alba,1,PA,Wayne,In scope 1,MASSIMO ALBA,Boyds,no,,
Mastercraft Union,1,PA,Pittsburgh,Multigender 1,Mastercraft Union,TONS,no,,
Maui Jim,1,PA,Wayne,Multigender 1,Maui Jim,Out There Outfitters,no,,
Mavi,1,PA,Phoenixville,In scope 1,Mavi,Weitzenkorn's,no,,
Mavrans,1,PA,State College,Multigender 1,Mavrans,Harpers,no,,
MaxMan,1,PA,Johnstown,In scope 1,MaxMan,Millers of Johnstown,no,,
Mel Gambert Shirts,1,PA,Wayne,In scope 1,MEL GAMBERT SHIRTS,Boyds,no,,
Mephisto,1,PA,Warrendale,Multigender 1,Mephisto,Oxford & Derby,no,,
Mercedes Salazar,1,NJ,Long Beach Township,Multigender 1,Mercedes Salazar,Sink R Swim,no,,
Merrell 1TRL,1,PA,Philadelphia,Multigender 1,Merrell 1TRL,Totem Brand Co.,no,,
Metric Knits,1,PA,State College,Multigender 1,Metric Knits,Harpers,no,,
Michael Strahan,1,PA,Indiana,In scope 1,Michael Strahan,700 Shop,no,,
Midori,1,PA,Philadelphia,Multigender 1,Midori,Totem Brand Co.,no,,
Mihara Yasuhiro,1,PA,Pittsburgh,Multigender 1,Mihara Yasuhiro,TONS,no,,
Milestone,1,PA,Wayne,In scope 1,MILESTONE,Boyds,no,,
Mirto,1,PA,Warrendale,Multigender 1,Mirto,Oxford & Derby,no,,
Mister Freedom,1,PA,Philadelphia,In scope 1,Mister Freedom,Franklin & Poe,no,,
Mitchell & Ness,1,PA,West Chester,Multigender 1,Mitchell & Ness,Phineas Gage,no,,
Modena Shirts,1,PA,Johnstown,In scope 1,Modena Shirts,Millers of Johnstown,no,,
Momotaro Jeans,1,NJ,Maplewood,In scope 1,MOMOTARO JEANS,City Workshop Men's Supply Co.,no,,
Montana West,1,PA,State College,Multigender 1,Montana West,Harpers,no,,
Moon River,1,PA,State College,Multigender 1,Moon River,Harpers,no,,
Mooncastle,1,PA,Pittsburgh,In scope 1,Mooncastle,Vestis,no,,
Moonstar,1,PA,Philadelphia,Multigender 1,Moonstar,Totem Brand Co.,no,,
Moorer,1,PA,Wayne,In scope 1,MOORER,Boyds,no,,
Moose Knuckles,1,PA,Pittsburgh,Multigender 1,Moose Knuckles,Moda,no,,
Mountain Hardwear,1,PA,Kennett Square,Multigender 1,Mountain Hardwear,Trail Creek Outfitters,no,,
Mountain Research,1,PA,Philadelphia,Multigender 1,Mountain Research,Totem Brand Co.,no,,
Moving Forward Designs,1,PA,State College,Multigender 1,Moving Forward Designs,Harpers,no,,
Mr. Fatman,1,NJ,Maplewood,In scope 1,Mr. Fatman,City Workshop Men's Supply Co.,no,,
Museum of Peace & Quiet,1,NJ,Asbury Park,Multigender 1,Museum of Peace & Quiet,New Hour Clothing,no,,
Myths,1,PA,Wayne,In scope 1,MYTHS,Boyds,no,,
Naghedi,1,PA,Pittsburgh,Multigender 1,Naghedi,Larrimor's,no,,
Nahmias,1,PA,Pittsburgh,Multigender 1,Nahmias,TONS,no,,
Naked & Famous,1,PA,Philadelphia,Multigender 1,Naked & Famous,Totem Brand Co.,no,,
Naked & Famous Denim,1,NJ,Maplewood,In scope 1,Naked & Famous Denim,City Workshop Men's Supply Co.,no,,
Nalgene,1,PA,Philadelphia,Multigender 1,Nalgene,Totem Brand Co.,no,,
Nanamica,1,PA,Philadelphia,Multigender 1,Nanamica,Totem Brand Co.,no,,
Nation Los Angeles,1,PA,Allentown,Multigender 1,Nation Los Angeles,assembly88,no,,
Needle Golf,1,PA,West Chester,Multigender 1,Needle Golf,Phineas Gage,no,,
Needles,1,PA,Philadelphia,Multigender 1,Needles,Totem Brand Co.,no,,
Neuw,1,PA,Pittsburgh,Multigender 1,Neuw,Moda,no,,
New Balance,1,NJ,Somerville,Multigender 1,New Balance,Evolve Clothing Gallery,no,,
New Era Cap,1,NJ,Somerville,Multigender 1,New Era Cap,Evolve Clothing Gallery,no,,
Nili Lotan,1,NJ,Cape May,Multigender 1,Nili Lotan,Galvanic,no,,flagged from Assembly His; not yet assessed
Nippon Kodo,1,PA,Philadelphia,Multigender 1,Nippon Kodo,Totem Brand Co.,no,,
Nite-Ize,1,PA,Philadelphia,Multigender 1,Nite-Ize,Totem Brand Co.,no,,
Nocs Provisions,1,PA,Wayne,Multigender 1,Nocs Provisions,Out There Outfitters,no,,
Nodal,1,PA,Philadelphia,Multigender 1,NODAL,Totem Brand Co.,no,,
Northwave,1,PA,Philadelphia,Multigender 1,Northwave,Totem Brand Co.,no,,
Norwegian Wool,1,PA,Wayne,In scope 1,NORWEGIAN WOOL,Boyds,no,,
Nothin' Special NYC,1,NJ,Somerville,Multigender 1,Nothin' Special NYC,Evolve Clothing Gallery,no,,
