brand,tee_low,tee_high,polo_low,polo_high,dress_shirt_low,dress_shirt_high,jeans_low,jeans_high,dress_pants_low,dress_pants_high,sweater_low,sweater_high,outerwear_low,outerwear_high,shoes_low,shoes_high,not_a_staple,search_url,store_used,currency_basis,status,source,note
Versace,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Dolce&Gabbana,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Fendi,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Valentino,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Saint Laurent,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Celine,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Givenchy,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Gucci,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Balenciaga,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
McQueen,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
